"race","state","modeldate","candidate_name","pct_estimate","pct_trend_adjusted","timestamp","contestdate"
"2020D","National","2/6/2020","Joseph R. Biden Jr.",24.27559,NA,"20:56:55  6 Feb 2020",""
"2020D","National","2/5/2020","Michael F. Bennet",0.6504357,NA,"23:06:04  5 Feb 2020",""
"2020D","National","2/5/2020","Pete Buttigieg",6.972744,NA,"23:06:04  5 Feb 2020",""
"2020D","National","2/5/2020","Tulsi Gabbard",2.03001,NA,"23:06:04  5 Feb 2020",""
"2020D","National","2/5/2020","Andrew Yang",3.629921,NA,"23:06:04  5 Feb 2020",""
"2020D","National","2/5/2020","Tom Steyer",2.317148,NA,"23:06:04  5 Feb 2020",""
"2020D","National","2/5/2020","Deval Patrick",0.3003282,NA,"23:06:04  5 Feb 2020",""
"2020D","National","2/5/2020","Amy Klobuchar",4.763506,NA,"23:06:04  5 Feb 2020",""
"2020D","National","2/5/2020","Michael Bloomberg",9.897923,NA,"23:06:04  5 Feb 2020",""
"2020D","National","2/5/2020","Elizabeth Warren",14.48836,NA,"23:06:04  5 Feb 2020",""
"2020D","National","2/5/2020","Bernard Sanders",20.55072,NA,"23:06:04  5 Feb 2020",""
"2020D","National","2/5/2020","Joseph R. Biden Jr.",25.4565,NA,"23:06:04  5 Feb 2020",""
"2020D","National","2/4/2020","Michael F. Bennet",0.5794569,NA,"23:05:04  4 Feb 2020",""
"2020D","National","2/4/2020","Pete Buttigieg",6.939208,NA,"23:05:04  4 Feb 2020",""
"2020D","National","2/4/2020","Tulsi Gabbard",1.308586,NA,"23:05:04  4 Feb 2020",""
"2020D","National","2/4/2020","Andrew Yang",3.973107,NA,"23:05:04  4 Feb 2020",""
"2020D","National","2/4/2020","Tom Steyer",2.141893,NA,"23:05:04  4 Feb 2020",""
"2020D","National","2/4/2020","Deval Patrick",0.4573948,NA,"23:05:04  4 Feb 2020",""
"2020D","National","2/4/2020","Amy Klobuchar",3.501531,NA,"23:05:04  4 Feb 2020",""
"2020D","National","2/4/2020","Michael Bloomberg",8.649226,NA,"23:05:04  4 Feb 2020",""
"2020D","National","2/4/2020","Elizabeth Warren",14.58928,NA,"23:05:04  4 Feb 2020",""
"2020D","National","2/4/2020","Bernard Sanders",22.18171,NA,"23:05:04  4 Feb 2020",""
"2020D","National","2/4/2020","Joseph R. Biden Jr.",26.67094,NA,"23:05:04  4 Feb 2020",""
