"Candidate","Total_Absolute_Sentiment","Percent_Sentiment","Total_Sentiment","Count_Tweets","Percent_Tweets","Average_Sentiment","Average_Absolute_Sentiment","Date"
"biden",1856.32009679048,0.121236787594604,235.010678003599,6307,0.124997522643043,0.0372618801337561,0.294326953669016,"2/08/2020"
"bloomberg",496.620340616668,0.0324344141156483,141.623391431429,1870,0.0370612600828428,0.0757344339205502,0.26557237466132,"2/08/2020"
"buttigieg",2863.13064550125,0.186991867687254,681.883549057548,9400,0.186297243197178,0.0725408030912285,0.304588366542686,"2/08/2020"
"klobuchar",1971.04330955823,0.12872939288533,984.785421405647,6018,0.119269873357512,0.163639983616758,0.327524644326725,"2/08/2020"
"sanders",2458.96478343006,0.160595681567396,539.225297403529,8281,0.16411994371445,0.0651159639419792,0.296940560733011,"2/08/2020"
"steyer",998.418015422645,0.0652069613832787,256.576287359184,3428,0.0679390371999921,0.0748472250172648,0.291253796797738,"2/08/2020"
"warren",2205.42853286025,0.144037157737907,768.645288265956,7128,0.141268803139307,0.107834636400948,0.30940355399274,"2/08/2020"
"yang",2461.59921491493,0.160767737028583,755.033922264302,8025,0.159046316665676,0.0940852239581685,0.306741335191892,"2/08/2020"
"biden",939.332842180303,0.152853838819591,20.3370764740355,3097,0.149505189476225,0.00656670212271086,0.303304114362384,"2/09/2020"
"bloomberg",489.094786355562,0.0795884188053815,171.778594612817,1598,0.0771421675114651,0.107495991622539,0.306066825003481,"2/09/2020"
"buttigieg",1449.56080713524,0.235881174407522,337.247200891291,4983,0.240550325850833,0.0676795506504697,0.290901225594067,"2/09/2020"
"klobuchar",422.270505212094,0.068714373482501,224.221007098508,1517,0.0732319575187062,0.147805541923868,0.278358935538625,"2/09/2020"
